Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
181;2023;1;1;10;20;2;2;50;8,250;83;1.65;48;22;70;7;0;2;4;;;
182;2023;1;1;10;2;1;6;30;15,345;153;5.12;77;7;83;21;12;8;2;;;
183;2023;1;1;11;2;1;1;8;5,928;59;7.41;30;3;32;7;5;3;1;;;
184;2023;1;1;11;2;1;2;11;7,024;70;6.39;34;3;38;9;5;4;0;;;
185;2023;1;1;11;2;1;5;5;3,315;33;6.63;17;1;18;5;3;2;0;;;
186;2023;1;1;11;2;2;1;23;3,795;38;1.65;22;10;32;3;0;1;2;;;
187;2023;1;1;11;2;2;2;24;3,960;40;1.65;23;11;34;3;0;1;2;;;
188;2023;1;1;11;5;1;1;81;60,021;600;7.41;299;27;326;75;48;30;6;;;
189;2023;1;1;11;5;1;6;11;5,847;58;5.32;29;3;32;8;5;3;1;;;
190;2023;1;1;11;7;1;1;11;8,151;82;7.41;41;4;44;10;6;4;1;;;
191;2023;1;1;11;7;1;2;9;5,747;57;6.39;28;3;31;7;4;3;0;;;
192;2023;1;1;11;7;1;5;17;11,271;113;6.63;56;5;61;16;9;6;1;;;
193;2023;1;1;11;7;2;1;21;3,465;35;1.65;20;9;29;3;0;1;2;;;
194;2023;1;1;11;7;2;2;32;5,280;53;1.65;31;14;45;4;0;1;2;;;
195;2023;1;1;11;8;1;1;5;3,705;37;7.41;18;2;20;5;3;2;0;;;
196;2023;1;1;11;8;1;2;9;5,747;57;6.39;28;3;31;7;4;3;0;;;
197;2023;1;1;11;8;1;5;2;1,326;13;6.63;7;1;7;2;1;1;0;;;
198;2023;1;1;11;9;1;1;4;2,964;30;7.41;15;1;16;4;2;1;0;;;
199;2023;1;1;11;9;1;2;4;2,554;26;6.39;13;1;14;3;2;1;0;;;
200;2023;1;1;11;9;1;5;5;3,315;33;6.63;17;1;18;5;3;2;0;;;
201;2023;1;1;12;3;1;1;2;1,410;14;7.05;7;1;8;2;1;1;0;;;
202;2023;1;1;12;3;1;2;2;1,200;12;6.00;6;1;6;2;1;1;0;;;
203;2023;1;1;12;3;1;5;1;569;6;5.69;3;0;3;1;0;0;0;;;
204;2023;1;1;12;3;1;7;2;730;7;3.65;4;0;4;1;0;0;0;;;
205;2023;1;1;12;3;2;1;2;330;3;1.65;2;1;3;0;0;0;0;;;
206;2023;1;1;12;3;2;2;3;495;5;1.65;3;1;4;0;0;0;0;;;
207;2023;1;1;12;3;3;1;1;48;0;0.48;0;0;0;0;0;0;0;;;
208;2023;1;1;12;3;3;2;3;143;1;0.48;1;0;1;0;0;0;0;;;
209;2023;1;1;12;4;1;1;22;15,510;155;7.05;77;7;84;19;12;8;2;;;
210;2023;1;1;12;4;1;5;8;4,552;46;5.69;23;2;25;6;4;2;0;;;
